unit_id,dtime,fetch_time,bytes_total,bytes_sec
3880637,2021-01-01 01:06:30,3250186,4212052,1295941
3880637,2021-01-01 03:06:27,3175518,4212283,1326486
3880637,2021-01-01 05:07:41,3160607,4212061,1332674
3880637,2021-01-01 07:06:28,3165269,4212640,1330894
3880637,2021-01-01 09:06:27,3151856,4213476,1336823
3880637,2021-01-01 11:06:32,3184835,4212561,1322693
3880637,2021-01-01 13:06:42,3219005,4212723,1308703
3880637,2021-01-02 03:06:32,3206995,4207719,1312044
3880637,2021-01-02 05:07:42,3179555,4208682,1323670
3880637,2021-01-02 07:06:27,3161078,4209323,1331609
3880637,2021-01-02 11:06:41,3167664,4208690,1328641
3880637,2021-01-02 13:06:52,3181933,4205883,1321801
3880637,2021-01-02 15:06:32,3150893,4206163,1334911
3880637,2021-01-02 17:06:52,3249288,4205894,1294404
3880637,2021-01-02 19:06:27,3176696,4206944,1324314
3880637,2021-01-02 21:08:45,3188062,4206944,1319592
3880637,2021-01-03 01:07:08,3191971,4208712,1318530
3880637,2021-01-03 03:06:33,3198568,4209286,1315990
3880637,2021-01-03 05:06:28,3167586,4209950,1329072
3880637,2021-01-03 07:06:27,3172756,4207326,1326079
3880637,2021-01-03 09:07:18,3439551,4205694,1222745
3880637,2021-01-03 11:07:07,3419000,4207223,1230541
3880637,2021-01-03 13:06:57,3176286,4206972,1324494
3880637,2021-01-03 17:07:17,3159529,4207617,1331722
3880637,2021-01-03 19:06:48,3163630,4207509,1329962
3880637,2021-01-04 03:06:37,3167053,4208447,1328821
3880637,2021-01-04 05:08:07,3184483,4208247,1321485
3880637,2021-01-04 07:06:48,3196957,4209484,1316715
3880637,2021-01-04 09:06:52,3431532,4210821,1227096
3880637,2021-01-04 11:06:52,3204110,4212002,1314562
3880637,2021-01-04 13:08:17,3154840,4213374,1335526
3880637,2021-01-04 15:06:38,3159804,4213631,1333510
3880637,2021-01-04 19:06:47,3226264,4211376,1305341
3880637,2021-01-04 21:08:17,3179107,4211165,1324637
3880637,2021-01-04 23:06:42,3201048,4210970,1315497
3880637,2021-01-05 01:06:39,3211634,4211432,1311305
3880637,2021-01-05 03:06:37,3146152,4212884,1339059
3880637,2021-01-05 09:06:28,3190419,4212271,1320287
3880637,2021-01-05 11:06:40,3190745,4212890,1320346
3880637,2021-01-05 13:07:52,3451095,4211612,1220369
3880637,2021-01-05 15:06:37,3213789,4213390,1311035
3880637,2021-01-05 23:07:24,3199914,4210893,1315939
3880637,2021-01-06 05:06:42,3160282,4208114,1331562
3880637,2021-01-06 07:06:37,3170688,4209026,1327480
3880637,2021-01-06 09:06:29,3191930,4209393,1318761
3880637,2021-01-06 11:06:29,3153640,4209849,1334917
3880637,2021-01-06 13:07:43,3485891,4211115,1208045
3880637,2021-01-06 15:06:38,3166214,4211846,1330246
3880637,2021-01-06 17:06:28,3188850,4213951,1321464
