unit_id,dtime,fetch_time,bytes_total,bytes_sec
39876861,2021-01-01 01:55:34,6176017,4212345,682048
39876861,2021-01-01 04:00:16,22676705,4212135,185747
39876861,2021-01-01 05:56:17,36833960,4212061,114352
39876861,2021-01-01 07:53:49,6199874,4212352,679425
39876861,2021-01-01 09:53:45,6219371,4211745,677197
39876861,2021-01-01 11:53:49,6225625,4212476,676635
39876861,2021-01-01 13:53:50,6233844,4212380,675727
39876861,2021-01-01 15:53:48,6192834,4211672,680087
39876861,2021-01-01 17:53:46,6199737,4211415,679289
39876861,2021-01-01 19:53:53,6173481,4211415,682178
39876861,2021-01-01 21:53:53,6212607,4211832,677949
39876861,2021-01-01 23:53:47,7387171,4211433,570100
39876861,2021-01-02 01:55:21,6229413,4207717,675459
39876861,2021-01-02 03:57:52,6196022,4208703,679258
39876861,2021-01-02 05:55:33,6217827,4209369,676983
39876861,2021-01-02 07:55:36,27555975,4209323,152755
39876861,2021-01-02 09:53:54,14554308,4208833,289181
39876861,2021-01-02 11:56:11,6184474,4207098,680267
39876861,2021-01-02 13:53:49,6195360,4206042,678901
39876861,2021-01-02 17:54:57,42255574,4206944,99559
39876861,2021-01-02 19:53:47,6268599,4206944,671113
39876861,2021-01-02 21:53:46,6178646,4206944,680884
39876861,2021-01-02 23:53:46,6217161,4206944,676666
39876861,2021-01-03 01:55:26,6220102,4209286,676722
39876861,2021-01-03 03:57:52,6189498,4209950,680176
39876861,2021-01-03 07:57:26,10731256,4207326,392062
39876861,2021-01-03 09:53:48,6237944,4205739,674218
39876861,2021-01-03 11:53:45,6206111,4206984,677877
39876861,2021-01-03 13:53:49,6216289,4206974,676766
39876861,2021-01-03 15:53:45,6179159,4208392,681062
39876861,2021-01-03 17:53:53,6866097,4207509,612794
39876861,2021-01-03 19:54:08,6359468,4208300,661737
39876861,2021-01-03 21:54:14,6211676,4208289,677480
39876861,2021-01-03 23:53:46,6203145,4207564,678295
39876861,2021-01-04 01:58:04,6198831,4208134,678859
39876861,2021-01-04 03:55:27,6296142,4208893,668487
39876861,2021-01-04 05:55:19,6168178,4207860,682188
39876861,2021-01-04 07:55:10,6217764,4210556,677181
39876861,2021-01-04 09:58:35,6682905,4211206,630146
39876861,2021-01-04 11:53:45,6228510,4210898,676068
39876861,2021-01-04 13:53:48,6195894,4214165,680154
39876861,2021-01-04 15:53:49,6175777,4213658,682287
39876861,2021-01-04 17:53:45,6211009,4214042,678479
39876861,2021-01-04 19:56:12,6209139,4212202,678387
39876861,2021-01-04 21:53:46,6256259,4210990,673084
39876861,2021-01-04 23:53:46,6189055,4210970,680389
39876861,2021-01-05 01:58:20,6223336,4212937,676957
39876861,2021-01-05 03:55:28,6206885,4213120,678781
39876861,2021-01-05 05:56:23,6253203,4213572,673826
39876861,2021-01-05 07:53:50,6186476,4213368,681061
39876861,2021-01-05 09:53:58,6189239,4212160,680561
39876861,2021-01-05 11:56:11,6180719,4212090,681488
39876861,2021-01-05 13:53:48,6182084,4213106,681502
39876861,2021-01-05 15:53:46,6189510,4213630,680769
39876861,2021-01-05 17:53:45,6182155,4215994,681961
39876861,2021-01-05 19:59:04,6195702,4213644,680091
39876861,2021-01-05 21:53:50,6181152,4211294,681312
39876861,2021-01-05 23:53:45,6177810,4211051,681641
39876861,2021-01-06 01:58:04,6221918,4209803,676608
39876861,2021-01-06 05:58:23,6256784,4208491,672628
39876861,2021-01-06 07:53:51,6210404,4208914,677719
39876861,2021-01-06 09:53:45,6195311,4209787,679511
39876861,2021-01-06 11:53:46,6260515,4210286,672514
39876861,2021-01-06 13:54:01,6217289,4211495,677384
39876861,2021-01-06 15:53:47,6170195,4213333,682852
39876861,2021-01-06 17:53:51,6191782,4212571,680348
39876861,2021-01-06 19:58:57,6225113,4208012,675973
39876861,2021-01-06 21:53:45,6355110,4340177,682942
39876861,2021-01-06 23:53:47,6264526,4210478,672114
39876861,2021-01-07 01:58:29,6191041,4212108,680355
39876861,2021-01-07 03:55:53,7424417,4211456,567244
39876861,2021-01-07 05:56:41,20313178,4211670,207336
39876861,2021-01-07 07:53:47,6222443,4211896,676887
39876861,2021-01-07 09:53:52,6198441,4213104,679703
39876861,2021-01-07 11:58:31,6226445,4213385,676691
39876861,2021-01-07 13:53:48,6399594,4215039,658641
39876861,2021-01-07 15:53:45,6276593,4213655,671328
39876861,2021-01-07 17:53:46,6190016,4214728,680891
39876861,2021-01-07 19:54:01,6179233,4216864,682425
39876861,2021-01-07 21:53:45,6169523,4213959,683028
39876861,2021-01-07 23:53:47,6200054,4213292,679557
39876861,2021-01-08 01:55:23,6197479,4213249,679832
39876861,2021-01-08 05:56:00,38350155,4211181,109808
39876861,2021-01-08 07:53:48,6228794,4210812,676023
39876861,2021-01-08 09:55:08,7191073,4211521,585659
39876861,2021-01-08 11:54:34,17852405,4212920,235986
39876861,2021-01-08 13:53:56,6201615,4216137,679845
39876861,2021-01-08 15:53:46,6735493,4214477,625711
39876861,2021-01-08 17:54:18,35714739,4216055,118048
39876861,2021-01-08 19:53:48,6167766,4214613,683328
39876861,2021-01-08 21:53:45,6195932,4222402,681479
39876861,2021-01-08 23:53:45,6190513,4222092,682026
39876861,2021-01-09 01:55:24,6180299,4221380,683038
39876861,2021-01-09 03:58:34,6182391,4222411,682973
39876861,2021-01-09 05:55:23,6213623,4222615,679573
39876861,2021-01-09 07:53:46,6222528,4222557,678591
39876861,2021-01-09 09:53:53,9311643,4223130,453532
39876861,2021-01-09 11:56:12,6202847,4222010,680656
39876861,2021-01-09 13:53:48,6250151,4221853,675480
39876861,2021-01-09 15:53:45,6202595,4220701,680473
39876861,2021-01-09 17:54:44,45835837,4221673,92104
39876861,2021-01-09 19:56:12,6191553,4222859,682035
39876861,2021-01-09 21:53:48,6192774,4222711,681877
39876861,2021-01-09 23:53:48,6217063,4222711,679213
39876861,2021-01-10 01:55:24,6299680,4220143,669897
39876861,2021-01-10 05:55:15,6197537,4219360,680812
39876861,2021-01-10 07:55:11,8321817,4219072,506989
39876861,2021-01-10 09:53:48,6241908,4220464,676149
39876861,2021-01-10 11:53:48,6333910,4220224,666290
39876861,2021-01-10 13:54:52,6221887,4222269,678615
39876861,2021-01-10 15:54:07,6606964,4222717,639131
39876861,2021-01-10 17:54:12,6220998,4222593,678764
39876861,2021-01-10 19:59:08,6250201,4222593,675593
39876861,2021-01-10 21:53:46,6231349,4222593,677637
39876861,2021-01-10 23:53:48,6247497,4222593,675885
39876861,2021-01-11 01:58:02,6182437,4222787,683029
39876861,2021-01-11 03:58:30,6215431,4222787,679403
39876861,2021-01-11 05:57:51,6214214,4222800,679538
39876861,2021-01-11 07:56:34,6187180,4223362,682598
39876861,2021-01-11 09:54:52,30000272,0,0
39876861,2021-01-11 11:55:50,9266842,4224167,455836
39876861,2021-01-11 13:55:44,6293276,4226406,671574
39876861,2021-01-11 15:55:03,31054521,4225667,136072
39876861,2021-01-11 17:54:09,6210619,4225188,680316
39876861,2021-01-11 19:59:13,6210816,4224133,680125
39876861,2021-01-12 01:55:21,6190337,4220573,681800
39876861,2021-01-12 09:53:49,6260069,4222303,674481
39876861,2021-01-12 11:53:51,6180368,4223450,683365
39876861,2021-01-12 13:58:30,6216106,4223941,679515
39876861,2021-01-12 15:53:47,6266685,4224295,674087
39876861,2021-01-12 17:53:50,6202556,4225400,681235
39876861,2021-01-12 19:53:48,6220456,4224263,679092
39876861,2021-01-12 21:53:47,6230583,4223333,677839
39876861,2021-01-12 23:53:50,6204483,4222535,680561
39876861,2021-01-13 01:55:22,6222693,4222512,678566
39876861,2021-01-13 03:57:44,6186020,4223027,682672
39876861,2021-01-13 09:53:50,6216330,4224216,679535
39876861,2021-01-13 11:53:48,6254445,4225528,675603
39876861,2021-01-13 13:53:47,6210954,4228228,680769
39876861,2021-01-13 15:53:46,6493810,4366667,672435
39876861,2021-01-13 17:53:50,6433102,4360505,677823
39876861,2021-01-13 19:58:02,8852018,4359974,492540
39876861,2021-01-13 21:53:46,6419357,4358686,678991
39876861,2021-01-13 23:53:52,6789163,4358443,641970
39876861,2021-01-14 01:55:21,6179239,4220333,682985
39876861,2021-01-14 03:55:27,6217211,4222439,679153
39876861,2021-01-14 07:53:46,6202143,4223626,680994
39876861,2021-01-14 09:53:52,6281069,4224961,672649
39876861,2021-01-14 11:53:47,6201519,4228441,681839
39876861,2021-01-14 13:53:51,8780445,4229746,481723
39876861,2021-01-14 15:53:48,6212139,4227581,680535
39876861,2021-01-14 17:53:46,6191860,4226209,682542
39876861,2021-01-14 19:56:15,6225712,4227059,678967
39876861,2021-01-14 21:53:47,6190889,4225821,682587
39876861,2021-01-14 23:53:47,6292775,4223861,671223
39876861,2021-01-15 01:55:45,6210268,4223545,680090
39876861,2021-01-15 03:55:47,6213695,4224466,679863
39876861,2021-01-15 05:55:44,6172215,4226276,684725
39876861,2021-01-15 07:53:46,6222015,4227437,679432
39876861,2021-01-15 09:53:46,6244169,4226566,676882
39876861,2021-01-15 11:56:14,6195295,4225371,682029
39876861,2021-01-15 13:53:47,6309375,4252767,674039
39876861,2021-01-15 15:53:46,6195789,4252521,686356
39876861,2021-01-15 17:59:52,6234551,4252700,682118
39876861,2021-01-15 19:56:33,6200873,4251237,685586
39876861,2021-01-15 21:53:48,6234946,4249134,681502
39876861,2021-01-15 23:53:46,6222213,4249171,682903
39876861,2021-01-16 01:55:40,6282369,4248622,676277
39876861,2021-01-16 03:55:55,6222997,4248481,682706
39876861,2021-01-16 05:55:51,6232789,4248356,681613
39876861,2021-01-16 07:54:11,6272065,4248774,677412
