unit_id,dtime,fetch_time,bytes_total,bytes_sec
8887,2021-01-01 01:56:19,6511966,4212345,646862
8887,2021-01-01 03:59:04,6640051,4212135,634352
8887,2021-01-01 05:56:13,6642397,4212061,634117
8887,2021-01-01 07:56:06,6479524,4212361,650103
8887,2021-01-01 09:56:04,6464813,4211745,651487
8887,2021-01-01 11:57:55,6509529,4212476,647124
8887,2021-01-01 13:55:58,7076771,4212380,595240
8887,2021-01-01 15:56:52,6734395,4211675,625397
8887,2021-01-01 17:56:49,6538091,4211415,644135
8887,2021-01-01 19:58:40,6343073,4211415,663939
8887,2021-01-01 21:56:41,6456787,4211452,652251
8887,2021-01-01 23:56:36,6688176,4211433,629683
8887,2021-01-02 01:56:32,6716857,4207717,626441
8887,2021-01-02 07:56:20,6583374,4209323,639386
8887,2021-01-02 09:56:14,6727261,4208833,625638
8887,2021-01-02 11:58:07,6950870,4207098,605262
8887,2021-01-02 13:56:07,6447641,4206505,652409
8887,2021-01-02 15:56:02,6470268,4205889,650033
8887,2021-01-02 17:55:59,6466881,4206944,650536
8887,2021-01-02 19:58:50,6657212,4206944,631937
8887,2021-01-02 21:56:56,6699462,4206944,627952
8887,2021-01-02 23:56:47,6777285,4206944,620741
8887,2021-01-03 01:56:44,6767013,4209286,622030
8887,2021-01-03 03:59:54,6394592,4209950,658361
8887,2021-01-03 05:56:44,6349094,4207326,662665
8887,2021-01-03 07:56:32,6779449,4207326,620599
8887,2021-01-03 09:56:33,6669865,4205669,630547
8887,2021-01-03 11:58:40,6666208,4206984,631091
8887,2021-01-03 13:56:20,6819118,4206974,616938
8887,2021-01-03 15:56:14,6250762,4208392,673260
8887,2021-01-03 17:56:22,6577880,4207509,639645
8887,2021-01-03 19:58:02,6597667,4208300,637846
8887,2021-01-03 21:56:11,6486499,4208289,648776
8887,2021-01-03 23:56:00,6921757,4207564,607875
8887,2021-01-04 01:56:55,6520736,4208134,645346
8887,2021-01-04 04:00:47,6378012,4208819,659895
8887,2021-01-04 05:57:18,6710489,4207860,627057
8887,2021-01-04 07:56:44,6446905,4210556,653112
8887,2021-01-04 09:56:39,6349762,4211220,663209
8887,2021-01-04 11:58:30,6267817,4211397,671908
8887,2021-01-04 13:56:32,6753075,4214165,624036
8887,2021-01-04 15:56:27,6443432,4213658,653946
8887,2021-01-04 17:56:33,6456665,4214753,652775
8887,2021-01-04 19:58:20,6788435,4212202,620496
8887,2021-01-04 21:56:13,6450536,4210990,652812
8887,2021-01-04 23:56:10,6285650,4210970,669933
8887,2021-01-05 01:56:05,6470000,4212937,651149
8887,2021-01-05 03:59:49,6263143,4213120,672684
8887,2021-01-05 05:55:54,6342950,4213572,664292
8887,2021-01-05 07:56:51,6360706,4212682,662297
8887,2021-01-05 09:56:48,6415912,4212160,656517
8887,2021-01-05 11:56:43,6294036,4212090,669219
8887,2021-01-05 13:56:39,6483000,4213106,649869
8887,2021-01-05 15:56:35,6883414,4213630,612142
8887,2021-01-05 19:58:24,7190482,4213644,586002
8887,2021-01-05 23:56:20,6579875,4211051,639989
8887,2021-01-06 01:56:16,6540127,4209803,643688
8887,2021-01-06 04:01:01,6711905,4208343,626996
8887,2021-01-06 05:56:09,7278861,4208491,578179
8887,2021-01-06 07:56:04,6325525,4208914,665385
8887,2021-01-06 09:56:01,6636896,4209787,634300
8887,2021-01-06 11:57:51,6459430,4210286,651804
8887,2021-01-06 13:56:51,6222920,4211495,676771
8887,2021-01-06 15:56:47,6557803,4213333,642491
8887,2021-01-06 17:56:45,6751286,4212571,623965
8887,2021-01-06 19:58:37,6803610,4208012,618496
8887,2021-01-06 21:56:36,7130445,4340177,608682
8887,2021-01-06 23:56:34,6626932,4210613,635378
8887,2021-01-07 01:56:33,6688234,4211726,629721
8887,2021-01-07 03:59:18,6708252,4211354,627787
8887,2021-01-07 05:57:23,6456612,4211670,652303
8887,2021-01-07 07:56:17,7011860,4211896,600681
8887,2021-01-07 09:56:14,6661992,4212596,632332
8887,2021-01-07 11:58:04,6791140,4213385,620423
8887,2021-01-07 13:56:04,6703241,4215039,628806
8887,2021-01-07 15:56:00,6437418,4213655,654556
8887,2021-01-07 17:55:56,6535316,4214728,644915
8887,2021-01-07 19:58:48,6718176,4216864,627679
8887,2021-01-07 21:56:48,6792672,4213959,620368
8887,2021-01-07 23:56:44,6273065,4211927,671430
8887,2021-01-08 01:56:40,6257968,4213249,673261
8887,2021-01-08 03:59:52,7090535,4213236,594205
8887,2021-01-08 05:56:35,6809632,4211181,618415
8887,2021-01-08 07:56:27,6269956,4210812,671585
8887,2021-01-08 09:56:23,6303716,4211521,668101
8887,2021-01-08 11:58:15,6748408,4213383,624352
8887,2021-01-08 13:56:16,7123831,4216149,591837
8887,2021-01-08 15:56:17,6671731,4214477,631691
8887,2021-01-08 17:56:13,6763488,4216055,623355
8887,2021-01-08 19:58:20,6893134,4225750,613037
8887,2021-01-08 21:56:07,6382859,4222402,661522
8887,2021-01-08 23:56:08,6512765,4222092,648279
8887,2021-01-09 01:56:52,6388686,4221380,660758
8887,2021-01-09 03:59:32,6317914,4222411,668323
8887,2021-01-09 05:56:45,6487000,4222615,650934
8887,2021-01-09 07:56:40,6208569,4222557,680117
8887,2021-01-09 09:56:36,6484380,4223130,651277
8887,2021-01-09 11:56:35,7629393,4222010,553387
8887,2021-01-09 13:56:28,6780276,4221841,622665
8887,2021-01-09 15:56:24,6332638,4220701,666499
8887,2021-01-09 17:56:19,6727356,4222333,627636
8887,2021-01-09 19:58:11,6720452,4222859,628359
8887,2021-01-09 21:56:11,6558452,4222711,643857
8887,2021-01-09 23:56:08,6488863,4222711,650762
8887,2021-01-10 03:58:47,6250827,4219845,675085
8887,2021-01-10 05:55:56,6407871,4219360,658465
8887,2021-01-10 07:56:52,6629131,4219072,636444
